script,offset,length,string,term_hit
long_update_thread_z.wsc,7557,15,blkv_coach_park,blk
long_update_thread_z.wsc,8115,15,blkv_coach_stop,blk
long_update_thread_z.wsc,30540,62,/content/DLC/ZombiePack/MissingPersons/event_bountyhunter_z.sc,zombie
long_update_thread_z.wsc,33503,47,/content/DLC/ZombiePack/Beats/beat_zombie_chase,zombie
long_update_thread_z.wsc,33667,47,/content/DLC/ZombiePack/Beats/beat_sharpshooter,zombie
long_update_thread_z.wsc,33835,46,/content/DLC/ZombiePack/Beats/beat_lone_zombie,zombie
long_update_thread_z.wsc,33982,49,/content/DLC/ZombiePack/Beats/beat_burning_bodies,zombie
long_update_thread_z.wsc,34150,46,/content/DLC/ZombiePack/Beats/beat_dead_pile_a,zombie
long_update_thread_z.wsc,34315,46,/content/DLC/ZombiePack/Beats/beat_dead_pile_b,zombie
long_update_thread_z.wsc,34480,48,/content/DLC/ZombiePack/Beats/beat_lone_stranded,zombie
long_update_thread_z.wsc,34629,42,/content/DLC/ZombiePack/Beats/beat_overrun,zombie
long_update_thread_z.wsc,34784,49,/content/DLC/ZombiePack/Beats/beat_survivor_fight,zombie
long_update_thread_z.wsc,34959,51,/content/DLC/ZombiePack/Beats/beat_trapped_survivor,zombie
long_update_thread_z.wsc,35110,49,/content/DLC/ZombiePack/Beats/beat_homestead_trap,zombie
long_update_thread_z.wsc,35266,48,/content/DLC/ZombiePack/Beats/beat_cannibal_camp,zombie
long_update_thread_z.wsc,35420,46,/content/DLC/ZombiePack/Beats/beat_family_camp,zombie
long_update_thread_z.wsc,35569,47,/content/DLC/ZombiePack/Beats/beat_mourn_zombie,zombie
long_update_thread_z.wsc,35747,41,/content/DLC/ZombiePack/Beats/beat_hunter,zombie
long_update_thread_z.wsc,35926,42,/content/DLC/ZombiePack/Beats/beat_thieves,zombie
long_update_thread_z.wsc,36098,49,/content/DLC/ZombiePack/Beats/beat_family_overrun,zombie
long_update_thread_z.wsc,36281,50,/content/DLC/ZombiePack/Beats/beat_zombie_struggle,zombie
long_update_thread_z.wsc,36466,52,/content/DLC/ZombiePack/Beats/beat_homestead_zombies,zombie
long_update_thread_z.wsc,36568,50,/content/DLC/ZombiePack/Beats/beat_magical_animals,zombie
long_update_thread_z.wsc,36714,42,/content/DLC/ZombiePack/Beats/beat_unicorn,zombie
long_update_thread_z.wsc,36765,44,/content/DLC/ZombiePack/Beats/beat_sasquatch,zombie
long_update_thread_z.wsc,67072,11,ZombieScore,zombie
long_update_thread_z.wsc,68533,11,ZombieScore,zombie
long_update_thread_z.wsc,84322,15,noZombieFireArt,"zombie,fire"
long_update_thread_z.wsc,84364,21,dlc_arm_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,84394,21,dlc_arm_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,84440,21,dlc_rwf_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,84470,21,dlc_rwf_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,84516,21,dlc_twr_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,84546,21,dlc_twr_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,84592,21,dlc_rat_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,84622,21,dlc_rat_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,84668,21,dlc_gap_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,84698,21,dlc_gap_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,84744,21,dlc_sol_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,84774,21,dlc_sol_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,84834,21,dlc_hen_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,84864,21,dlc_hen_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,84910,21,dlc_thi_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,84945,21,dlc_dix_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,84975,21,dlc_dix_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,85005,21,dlc_thi_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,85032,21,dlc_dix_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,85078,21,dlc_pik_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,85108,21,dlc_pik_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,85168,21,dlc_pln_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,85198,21,dlc_pln_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,85244,21,dlc_esc_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,85274,21,dlc_esc_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,85320,21,dlc_nos_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,85350,21,dlc_nos_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,85396,21,dlc_tes_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,85426,21,dlc_tes_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,85472,21,dlc_chu_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,85502,21,dlc_chu_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,85548,21,dlc_lsh_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,85578,21,dlc_lsh_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,85624,21,dlc_agv_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,85654,21,dlc_agv_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,85700,21,dlc_cas_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,85730,21,dlc_cas_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,85790,21,dlc_elm_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,85820,21,dlc_elm_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,85866,21,dlc_tor_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,85896,21,dlc_tor_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,85956,21,dlc_mtp_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,85986,21,dlc_mtp_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,86032,21,dlc_upr_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,86062,21,dlc_upr_zombieFire01x,"zombie,fire"
long_update_thread_z.wsc,86108,21,dlc_blk_zombieFire01x,"blk,zombie,fire"
long_update_thread_z.wsc,86138,21,dlc_blk_zombieFire01x,"blk,zombie,fire"
long_update_thread_z.wsc,87185,11,ZombieScore,zombie
long_update_thread_z.wsc,87215,11,ZombieScore,zombie
long_update_thread_z.wsc,91660,15,grtv_blackwater,"blackwater,black"
long_update_thread_z.wsc,91931,11,ZombieScore,zombie
long_update_thread_z.wsc,92028,15,grtv_blackwater,"blackwater,black"
long_update_thread_z.wsc,103152,17,phosphorous_start,star
long_update_thread_z.wsc,104026,18,item_bait_disabled,disable
