path,extension,token_hits,candidate_names_sample,sample_contexts
root/tune/asd/pig.xml,.xml,cut=1; train=1; vehicle=4; veh=5; camera=3,MinMountedConstraintLen; VehicleData; aniVehicleData; VehicleAnimRate,"ue=""1.000000""/> <DoFFalloffFar value=""1.000000""/> <DoFDistanceCutoff value=""100.000000""/> <DoFMinNearDistance value=""3.000000""/> <PerfectAccuracyPhase value=""0.7000 | 500000""/> <MinConstarintLen value=""1.000000""/> <MinMountedConstraintLen value=""4.500000""/> <GroundAttackDist2 value=""6.000000""/> <LaunchVelocity value=""20.000000""/> | <MountVelLookAheadSec value=""0.000000""/> </Data> </RideData> <VehicleData type=""aniVehicleData""> <Data> <VehicleAnimRate value=""1.400000""/> <SteerModifier value= | c value=""0.000000""/> </Data> </RideData> <VehicleData type=""aniVehicleData""> <Data> <VehicleAnimRate value=""1.400000""/> <SteerModifier value=""0.150000""/> </Dat | RideData""> <Data> <MountRange value=""5.000000""/> <MountFromVehRange value=""2.000000""/> <MountFromHorseRange value=""1.700000""/> <MountZOffset value=""0.000000""/> | 000000""/> <MaxTurnBlendRate value=""5.000000""/> <PlayerOrientToCameraTimer value=""0.500000""/> <FootstepDustFXDistance value=""25.000000""/> <SprintStaminaThreshold val | <FindMeleeTargetDistanceWeight value=""0.200000""/> <FindMeleeTargetCameraAngleWeight value=""0.400000""/> <FindMeleeTargetActorAngleWeight value=""0.300000""/> <FindMeleeTar"
root/tune/asd/crow.xml,.xml,cut=1; train=1; vehicle=4; veh=5; camera=3,MinMountedConstraintLen; VehicleData; aniVehicleData; VehicleAnimRate,"ue=""1.000000""/> <DoFFalloffFar value=""1.000000""/> <DoFDistanceCutoff value=""100.000000""/> <DoFMinNearDistance value=""3.000000""/> <PerfectAccuracyPhase value=""0.7000 | 500000""/> <MinConstarintLen value=""1.000000""/> <MinMountedConstraintLen value=""4.500000""/> <GroundAttackDist2 value=""6.000000""/> <LaunchVelocity value=""20.000000""/> | <MountVelLookAheadSec value=""0.000000""/> </Data> </RideData> <VehicleData type=""aniVehicleData""> <Data> <VehicleAnimRate value=""1.400000""/> <SteerModifier value= | c value=""0.000000""/> </Data> </RideData> <VehicleData type=""aniVehicleData""> <Data> <VehicleAnimRate value=""1.400000""/> <SteerModifier value=""0.150000""/> </Dat | RideData""> <Data> <MountRange value=""5.000000""/> <MountFromVehRange value=""2.000000""/> <MountFromHorseRange value=""1.700000""/> <MountZOffset value=""0.000000""/> | 000000""/> <MaxTurnBlendRate value=""5.000000""/> <PlayerOrientToCameraTimer value=""0.500000""/> <FootstepDustFXDistance value=""25.000000""/> <SprintStaminaThreshold val | <FindMeleeTargetDistanceWeight value=""0.200000""/> <FindMeleeTargetCameraAngleWeight value=""0.400000""/> <FindMeleeTargetActorAngleWeight value=""0.300000""/> <FindMeleeTar"
root/tune/asd/raccoon.xml,.xml,cut=1; train=1; vehicle=4; veh=5; camera=3,MinMountedConstraintLen; VehicleData; aniVehicleData; VehicleAnimRate,"ue=""1.000000""/> <DoFFalloffFar value=""1.000000""/> <DoFDistanceCutoff value=""100.000000""/> <DoFMinNearDistance value=""3.000000""/> <PerfectAccuracyPhase value=""0.7000 | 500000""/> <MinConstarintLen value=""1.000000""/> <MinMountedConstraintLen value=""4.500000""/> <GroundAttackDist2 value=""6.000000""/> <LaunchVelocity value=""20.000000""/> | <MountVelLookAheadSec value=""0.000000""/> </Data> </RideData> <VehicleData type=""aniVehicleData""> <Data> <VehicleAnimRate value=""1.400000""/> <SteerModifier value= | c value=""0.000000""/> </Data> </RideData> <VehicleData type=""aniVehicleData""> <Data> <VehicleAnimRate value=""1.400000""/> <SteerModifier value=""0.150000""/> </Dat | RideData""> <Data> <MountRange value=""5.000000""/> <MountFromVehRange value=""2.000000""/> <MountFromHorseRange value=""1.700000""/> <MountZOffset value=""0.000000""/> | 000000""/> <MaxTurnBlendRate value=""5.000000""/> <PlayerOrientToCameraTimer value=""0.500000""/> <FootstepDustFXDistance value=""25.000000""/> <SprintStaminaThreshold val | <FindMeleeTargetDistanceWeight value=""0.200000""/> <FindMeleeTargetCameraAngleWeight value=""0.400000""/> <FindMeleeTargetActorAngleWeight value=""0.300000""/> <FindMeleeTar"
root/tune/asd/duck.xml,.xml,cut=1; train=1; vehicle=4; veh=5; camera=3,MinMountedConstraintLen; VehicleData; aniVehicleData; VehicleAnimRate,"ue=""1.000000""/> <DoFFalloffFar value=""1.000000""/> <DoFDistanceCutoff value=""100.000000""/> <DoFMinNearDistance value=""3.000000""/> <PerfectAccuracyPhase value=""0.7000 | 500000""/> <MinConstarintLen value=""1.000000""/> <MinMountedConstraintLen value=""4.500000""/> <GroundAttackDist2 value=""6.000000""/> <LaunchVelocity value=""20.000000""/> | <MountVelLookAheadSec value=""0.000000""/> </Data> </RideData> <VehicleData type=""aniVehicleData""> <Data> <VehicleAnimRate value=""1.400000""/> <SteerModifier value= | c value=""0.000000""/> </Data> </RideData> <VehicleData type=""aniVehicleData""> <Data> <VehicleAnimRate value=""1.400000""/> <SteerModifier value=""0.150000""/> </Dat | RideData""> <Data> <MountRange value=""5.000000""/> <MountFromVehRange value=""2.000000""/> <MountFromHorseRange value=""1.700000""/> <MountZOffset value=""0.000000""/> | 000000""/> <MaxTurnBlendRate value=""5.000000""/> <PlayerOrientToCameraTimer value=""0.500000""/> <FootstepDustFXDistance value=""25.000000""/> <SprintStaminaThreshold val | <FindMeleeTargetDistanceWeight value=""0.200000""/> <FindMeleeTargetCameraAngleWeight value=""0.400000""/> <FindMeleeTargetActorAngleWeight value=""0.300000""/> <FindMeleeTar"
root/tune/asd/fox.xml,.xml,cut=1; train=1; vehicle=4; veh=5; camera=3,MinMountedConstraintLen; VehicleData; aniVehicleData; VehicleAnimRate,"ue=""1.000000""/> <DoFFalloffFar value=""1.000000""/> <DoFDistanceCutoff value=""100.000000""/> <DoFMinNearDistance value=""3.000000""/> <PerfectAccuracyPhase value=""0.7000 | 500000""/> <MinConstarintLen value=""1.000000""/> <MinMountedConstraintLen value=""4.500000""/> <GroundAttackDist2 value=""6.000000""/> <LaunchVelocity value=""20.000000""/> | <MountVelLookAheadSec value=""0.000000""/> </Data> </RideData> <VehicleData type=""aniVehicleData""> <Data> <VehicleAnimRate value=""1.400000""/> <SteerModifier value= | c value=""0.000000""/> </Data> </RideData> <VehicleData type=""aniVehicleData""> <Data> <VehicleAnimRate value=""1.400000""/> <SteerModifier value=""0.150000""/> </Dat | RideData""> <Data> <MountRange value=""5.000000""/> <MountFromVehRange value=""2.000000""/> <MountFromHorseRange value=""1.700000""/> <MountZOffset value=""0.000000""/> | 000000""/> <MaxTurnBlendRate value=""5.000000""/> <PlayerOrientToCameraTimer value=""0.500000""/> <FootstepDustFXDistance value=""25.000000""/> <SprintStaminaThreshold val | <FindMeleeTargetDistanceWeight value=""0.200000""/> <FindMeleeTargetCameraAngleWeight value=""0.400000""/> <FindMeleeTargetActorAngleWeight value=""0.300000""/> <FindMeleeTar"
root/tune/asd/songbird.xml,.xml,cut=1; train=1; vehicle=4; veh=5; camera=3,MinMountedConstraintLen; VehicleData; aniVehicleData; VehicleAnimRate,"ue=""1.000000""/> <DoFFalloffFar value=""1.000000""/> <DoFDistanceCutoff value=""100.000000""/> <DoFMinNearDistance value=""3.000000""/> <PerfectAccuracyPhase value=""0.7000 | 500000""/> <MinConstarintLen value=""1.000000""/> <MinMountedConstraintLen value=""4.500000""/> <GroundAttackDist2 value=""6.000000""/> <LaunchVelocity value=""20.000000""/> | <MountVelLookAheadSec value=""0.000000""/> </Data> </RideData> <VehicleData type=""aniVehicleData""> <Data> <VehicleAnimRate value=""1.400000""/> <SteerModifier value= | c value=""0.000000""/> </Data> </RideData> <VehicleData type=""aniVehicleData""> <Data> <VehicleAnimRate value=""1.400000""/> <SteerModifier value=""0.150000""/> </Dat | RideData""> <Data> <MountRange value=""5.000000""/> <MountFromVehRange value=""2.000000""/> <MountFromHorseRange value=""1.700000""/> <MountZOffset value=""0.000000""/> | 000000""/> <MaxTurnBlendRate value=""5.000000""/> <PlayerOrientToCameraTimer value=""0.500000""/> <FootstepDustFXDistance value=""25.000000""/> <SprintStaminaThreshold val | <FindMeleeTargetDistanceWeight value=""0.200000""/> <FindMeleeTargetCameraAngleWeight value=""0.400000""/> <FindMeleeTargetActorAngleWeight value=""0.300000""/> <FindMeleeTar"
root/tune/asd/oldm.xml,.xml,cut=1; train=1; vehicle=4; veh=5; camera=3,MinMountedConstraintLen; VehicleData; aniVehicleData; VehicleAnimRate,"ue=""1.000000""/> <DoFFalloffFar value=""1.000000""/> <DoFDistanceCutoff value=""100.000000""/> <DoFMinNearDistance value=""3.000000""/> <PerfectAccuracyPhase value=""0.7000 | 500000""/> <MinConstarintLen value=""1.000000""/> <MinMountedConstraintLen value=""4.500000""/> <GroundAttackDist2 value=""6.000000""/> <LaunchVelocity value=""20.000000""/> | <MountVelLookAheadSec value=""0.000000""/> </Data> </RideData> <VehicleData type=""aniVehicleData""> <Data> <VehicleAnimRate value=""1.400000""/> <SteerModifier value= | c value=""0.000000""/> </Data> </RideData> <VehicleData type=""aniVehicleData""> <Data> <VehicleAnimRate value=""1.400000""/> <SteerModifier value=""0.150000""/> </Dat | RideData""> <Data> <MountRange value=""1.500000""/> <MountFromVehRange value=""3.000000""/> <MountFromHorseRange value=""1.700000""/> <MountZOffset value=""0.000000""/> | 000000""/> <MaxTurnBlendRate value=""5.000000""/> <PlayerOrientToCameraTimer value=""0.500000""/> <FootstepDustFXDistance value=""25.000000""/> <SprintStaminaThreshold val | <FindMeleeTargetDistanceWeight value=""0.200000""/> <FindMeleeTargetCameraAngleWeight value=""0.400000""/> <FindMeleeTargetActorAngleWeight value=""0.300000""/> <FindMeleeTar"
root/tune/asd/buf.xml,.xml,cut=3; train=1; vehicle=4; veh=5; camera=3,MinMountedConstraintLen; VehicleData; aniVehicleData; VehicleAnimRate,"000 0.000000 0.000000 </LookExtraHeadVertAngle> <ExecutionClearanceRadius value=""0.500000""/> <ExecutionClearanceOffset value=""1.000000""/> <AimTMinToleranc | adVertAngle> <ExecutionClearanceRadius value=""0.500000""/> <ExecutionClearanceOffset value=""1.000000""/> <AimTMinTolerance value=""0.900000""/> <AimTApproachRate value= | 500000""/> <MinConstarintLen value=""1.000000""/> <MinMountedConstraintLen value=""4.500000""/> <GroundAttackDist2 value=""6.000000""/> <LaunchVelocity value=""20.000000""/> | x=""0.000000"" y=""0.000000"" z=""0.000000""/> </Data> </RideData> <VehicleData type=""aniVehicleData""> <Data> <VehicleAnimRate value=""1.400000""/> <SteerModifier value= | 0000"" z=""0.000000""/> </Data> </RideData> <VehicleData type=""aniVehicleData""> <Data> <VehicleAnimRate value=""1.400000""/> <SteerModifier value=""0.150000""/> </Dat | RideData""> <Data> <MountRange value=""5.000000""/> <MountFromVehRange value=""2.000000""/> <MountFromHorseRange value=""1.700000""/> <MountZOffset value=""0.000000""/> | 000000""/> <MaxTurnBlendRate value=""5.000000""/> <PlayerOrientToCameraTimer value=""0.500000""/> <FootstepDustFXDistance value=""25.000000""/> <SprintStaminaThreshold val | <FindMeleeTargetDistanceWeight value=""0.200000""/> <FindMeleeTargetCameraAngleWeight value=""0.400000""/> <FindMeleeTargetActorAngleWeight value=""0.300000""/> <FindMeleeTar"
root/tune/asd/rabbit.xml,.xml,cut=1; train=1; vehicle=4; veh=5; camera=3,MinMountedConstraintLen; VehicleData; aniVehicleData; VehicleAnimRate,"ue=""1.000000""/> <DoFFalloffFar value=""1.000000""/> <DoFDistanceCutoff value=""100.000000""/> <DoFMinNearDistance value=""3.000000""/> <PerfectAccuracyPhase value=""0.7000 | 500000""/> <MinConstarintLen value=""1.000000""/> <MinMountedConstraintLen value=""4.500000""/> <GroundAttackDist2 value=""6.000000""/> <LaunchVelocity value=""20.000000""/> | <MountVelLookAheadSec value=""0.000000""/> </Data> </RideData> <VehicleData type=""aniVehicleData""> <Data> <VehicleAnimRate value=""1.400000""/> <SteerModifier value= | c value=""0.000000""/> </Data> </RideData> <VehicleData type=""aniVehicleData""> <Data> <VehicleAnimRate value=""1.400000""/> <SteerModifier value=""0.150000""/> </Dat | RideData""> <Data> <MountRange value=""5.000000""/> <MountFromVehRange value=""2.000000""/> <MountFromHorseRange value=""1.700000""/> <MountZOffset value=""0.000000""/> | 000000""/> <MaxTurnBlendRate value=""1.000000""/> <PlayerOrientToCameraTimer value=""0.500000""/> <FootstepDustFXDistance value=""25.000000""/> <SprintStaminaThreshold val | <FindMeleeTargetDistanceWeight value=""0.200000""/> <FindMeleeTargetCameraAngleWeight value=""0.400000""/> <FindMeleeTargetActorAngleWeight value=""0.300000""/> <FindMeleeTar"
root/tune/asd/tall.xml,.xml,cut=1; train=1; vehicle=4; veh=5; camera=3,MinMountedConstraintLen; VehicleData; aniVehicleData; VehicleAnimRate,"ue=""1.000000""/> <DoFFalloffFar value=""1.000000""/> <DoFDistanceCutoff value=""100.000000""/> <DoFMinNearDistance value=""3.000000""/> <PerfectAccuracyPhase value=""0.7000 | 500000""/> <MinConstarintLen value=""1.000000""/> <MinMountedConstraintLen value=""4.500000""/> <GroundAttackDist2 value=""6.000000""/> <LaunchVelocity value=""20.000000""/> | <MountVelLookAheadSec value=""0.000000""/> </Data> </RideData> <VehicleData type=""aniVehicleData""> <Data> <VehicleAnimRate value=""1.400000""/> <SteerModifier value= | c value=""0.000000""/> </Data> </RideData> <VehicleData type=""aniVehicleData""> <Data> <VehicleAnimRate value=""1.400000""/> <SteerModifier value=""0.150000""/> </Dat | RideData""> <Data> <MountRange value=""1.000000""/> <MountFromVehRange value=""2.000000""/> <MountFromHorseRange value=""1.700000""/> <MountZOffset value=""0.000000""/> | 000000""/> <MaxTurnBlendRate value=""5.000000""/> <PlayerOrientToCameraTimer value=""0.500000""/> <FootstepDustFXDistance value=""25.000000""/> <SprintStaminaThreshold val | <FindMeleeTargetDistanceWeight value=""0.200000""/> <FindMeleeTargetCameraAngleWeight value=""0.400000""/> <FindMeleeTargetActorAngleWeight value=""0.300000""/> <FindMeleeTar"
