# Code RED source/decompiled export
# Source: research/blackwater_wsi_gringo_correlation_outputs/wsi_sector_context.csv
# SHA1: d536277a3fb1e1d696e18a8821bc58a734a9218f

sector_offset,sector_offset_hex,sector_name,sector_scope,scoped_name_hash,scoped_name_resolved,sector_name_hash,sector_name_resolved,bound_min,bound_max,flags,disabled_flag_guess,resident_status,district,ref_count,props_offset,props_count,doors_attributes_offset,doors_attributes_count,children_offset,children_count,child_ptrs_offset,child_ptrs_count,drawable_instances_offset,drawable_instances_count,drawable_instances2_offset,drawable_instances2_count,occluders_offset,occluders_count,locators_offset,locators_count,wsi_source,decoded_sha1
0,0x00000000,,blackwater,,,,,"[462.340149, 61.159431, 1174.356201, 267.020386]","[860.775757, 114.14402, 1525.982788, 26.492294]",0x00000000,False,85,0,205,,0,,0,,0,2359360,1,,0,,0,,0,,0,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,b573a802ce71fba9facdb3cf7a9639e99e276754
1416720,0x00159E10,blackwater,blackwater,0x3EC4B1F5,,0x3EC4B1F5,,"[462.340149, 61.159431, 1174.356201, 267.020386]","[860.775757, 114.14402, 1525.982788, 26.492294]",0x00000002,False,85,0,205,,0,2462400,0,,0,2191280,7,,0,,0,,0,,0,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,b573a802ce71fba9facdb3cf7a9639e99e276754
1420816,0x0015AE10,blk_archeologist01x,blackwater,0x3EC4B1F5,,0xB2919E59,,"[743.524597, 78.239532, 1274.045166, 11.940589]","[761.002686, 91.982376, 1282.760742, 4.357788]",0x00000007,False,85,0,205,,0,2462180,0,,0,,0,1289776,2,1422752,5,,0,,0,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,b573a802ce71fba9facdb3cf7a9639e99e276754
1424912,0x0015BE10,blackwater02,blackwater,0x3EC4B1F5,,0xA8BD54F7,,"[689.166687, 70.388245, 1245.345947, 116.719879]","[797.251648, 97.443733, 1450.479492, 13.527744]",0x00000008,False,85,0,205,,0,2462408,0,,0,1634784,118,,0,,0,,0,,0,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,b573a802ce71fba9facdb3cf7a9639e99e276754
1429008,0x0015CE10,blk_residence07x,blackwater,0x3EC4B1F5,,0x228AB91E,,"[593.437012, 86.002472, 1212.982666, 17.970469]","[616.672852, 100.559937, 1236.218994, 7.278732]",0x00000007,False,85,0,205,,0,2462324,0,,0,,0,1691136,1,1373024,6,,0,,0,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,b573a802ce71fba9facdb3cf7a9639e99e276754
1433104,0x0015DE10,blk_generalBuilding10x,blackwater,0x3EC4B1F5,,0xEF75AE95,,"[743.487427, 78.305222, 1343.910156, 12.326138]","[762.269043, 87.127975, 1357.219727, 4.411377]",0x00000007,False,85,0,205,,0,2462288,0,,0,,0,1706624,1,1418656,5,,0,,0,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,b573a802ce71fba9facdb3cf7a9639e99e276754
1437200,0x0015EE10,blk_saloon_int_01x,blackwater,0x3EC4B1F5,,0xC6B27550,,"[709.085938, 78.253937, 1310.539062, 12.831194]","[727.079834, 86.721893, 1326.758545, 4.233978]",0x00000007,False,2147483733,0,205,,0,2462116,0,,0,,0,1462272,3,1448048,5,,0,,0,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,b573a802ce71fba9facdb3cf7a9639e99e276754
1441296,0x0015FE10,blk_theatre01x,blackwater,0x3EC4B1F5,,0x47C24703,,"[693.491882, 77.675156, 1277.016357, 21.992702]","[727.114014, 90.697723, 1302.209229, 6.511284]",0x00000007,False,85,0,205,1899040,1,2462420,0,,0,,0,1703648,1,1337312,7,,0,,0,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,b573a802ce71fba9facdb3cf7a9639e99e276754
1453584,0x00162E10,blk_slumHouse05x,blackwater,0x3EC4B1F5,,0x5755CCF4,,"[736.552612, 78.162231, 1404.079834, 11.043895]","[754.356812, 85.809967, 1414.681396, 3.823868]",0x00000007,False,85,0,205,1782192,2,2462240,0,,0,,0,1692768,1,1301792,5,,0,,0,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,b573a802ce71fba9facdb3cf7a9639e99e276754
1457680,0x00163E10,blk_generalBuilding12x,blackwater,0x3EC4B1F5,,0x2C092F6F,,"[743.348511, 78.241943, 1357.193848, 7.3651]","[754.059204, 84.743134, 1364.939453, 3.250595]",0x00000007,False,85,0,205,,0,2462732,0,,0,,0,1690464,1,1648752,3,,0,,0,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,b573a802ce71fba9facdb3cf7a9639e99e276754
1509440,0x00170840,blk_generalBuilding01props01x,blackwater,0x3EC4B1F5,,0x9D0E3E53,,"[739.4375, 78.303383, 1283.282959, 12.02529]","[759.981201, 85.811363, 1293.283813, 3.75399]",0x00000007,False,85,0,205,1317984,19,2462028,0,,0,,0,1347584,4,1295488,8,,0,,8048,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,b573a802ce71fba9facdb3cf7a9639e99e276754
1509920,0x00170A20,blk_freightstation01Props01x,blackwater,0x3EC4B1F5,,0x090D2C31,,"[666.748291, 78.031883, 1324.607788, 12.133149]","[683.159058, 83.07753, 1341.756592, 2.522823]",0x00000007,False,85,0,205,1392640,17,2462532,0,,0,,0,1145088,8,1110016,17,,0,,0,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,b573a802ce71fba9facdb3cf7a9639e99e276754
