# Code RED source/decompiled export
# Source: research/blackwater_wsi_gringo_correlation_outputs/wgd_keyword_components.csv
# SHA1: 7b9b0b7b4c80f10e7162df4123106934c24bb199

wgd_offset_hex,wgd_component_type,wgd_query_name,wgd_script_name,wgd_gringo_name,wgd_primary_name,wgd_hash_code,wgd_hashed_name,wgd_activation_radius,wgd_child_count,wgd_use_context_count,wgd_instanced_item_count,wgd_instance_slot_count,wgd_critical,wgd_maintain_state,wgd_player_usable,wgd_gringo_handles_movement,wgd_requires_physics_check,wgd_allow_ai_shoot,wgd_allow_navigate_to
0x0001BF80,UseContext,,,,,0xDA8E9D7D,,,4,1,,,,,0,0,0,0,1
0x0001CB80,UseContext,,,,,0xDA8E9D7D,,,4,1,,,,,0,0,0,0,0
0x0001D780,UseContext,,,,,0xDA8E9D7D,,,4,1,,,,,0,0,0,0,0
0x0001DE00,UseContext,,,,,0xDA8E9D7D,,,3,0,,,,,0,0,0,0,0
0x0001EC80,UseContext,,,,,0xDA8E9D7D,,,2,0,,,,,0,0,0,0,1
0x0001F100,UseContext,,,,,0xDA8E9D7D,,,4,1,,,,,0,0,0,0,1
0x0001F180,UseContext,,,,,0xDA8E9D7D,,,3,0,,,,,0,0,0,0,1
0x00030800,UseContext,,,,,0xDA8E9D7D,,,3,1,,,,,0,0,0,0,1
0x00032700,UseContext,,,,,0xDA8E9D7D,,,3,1,,,,,0,0,0,0,1
0x00033600,UseContext,,,,,0xDA8E9D7D,,,3,1,,,,,0,0,0,0,1
0x00034500,UseContext,,,,,0xDA8E9D7D,,,3,1,,,,,0,0,0,0,1
0x00035100,UseContext,,,,,0xDA8E9D7D,,,3,1,,,,,0,0,0,0,1
0x00035A00,UseContext,,,,,0xDA8E9D7D,,,2,0,,,,,0,0,0,0,1
0x00038B80,UseContext,,,,,0xDA8E9D7D,,,4,1,,,,,1,0,0,0,1
0x0003BD08,ItemGringo,,content\scripting\gringo\GringoBrains\GringoBrainScripts\Gen_Brain,,content\scripting\gringo\GringoBrains\GringoBrainScripts\Gen_Brain,0x05B5C16A,0x00000000,2147483648.0,4,0,2,2,1,1,,,,,
0x0003BD54,ItemGringo,,content\scripting\gringo\CommonScripts\CannibalFamClue,,content\scripting\gringo\CommonScripts\CannibalFamClue,0x410215CF,0x00000000,0.0,1,1,4,4,0,1,,,,,
0x0003BDA0,ItemGringo,,content\scripting\gringo\CommonScripts\Chair_weaponkill,,content\scripting\gringo\CommonScripts\Chair_weaponkill,0x410215CF,0x00000000,0.25,1,1,7,7,0,1,,,,,
0x0003BDEC,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,4,4,0,1,,,,,
0x0003BE38,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,6,6,0,1,,,,,
0x0003BE84,ItemGringo,,content\scripting\gringo\CommonScripts\AztecGold_Treasure,,content\scripting\gringo\CommonScripts\AztecGold_Treasure,0x410215CF,0x00000000,0.0,1,1,6,6,0,1,,,,,
0x0003BED0,ItemGringo,,content\scripting\gringo\CommonScripts\Vehicle_Generator,,content\scripting\gringo\CommonScripts\Vehicle_Generator,0x082A4EBE,0x00000000,200.0,2,0,0,0,0,0,,,,,
0x0003BF1C,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,2,2,6,6,0,1,,,,,
0x0003BF68,ItemGringo,,content\scripting\gringo\CommonScripts\Gringo_NoCamera,,content\scripting\gringo\CommonScripts\Gringo_NoCamera,0x410215CF,0x00000000,0.0,1,1,5,5,0,1,,,,,
0x0003BFB4,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,4,4,0,1,,,,,
0x0003C000,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,5,5,0,1,,,,,
0x0003C04C,ItemGringo,,content\scripting\gringo\CommonScripts\horseHitching,,content\scripting\gringo\CommonScripts\horseHitching,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003C098,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,4,4,0,1,,,,,
