# Code RED source/decompiled export
# Source: data/codered/rosters/npc_roster_law_gang_companion.txt
# SHA1: a63705170b47c8c6373167fe5df411a07f86273b

# CodeRED full inline actor roster
# Generated by tools/codered_actor_enum_tool.py
# Format: ACTOR_NAME|actor_enum
# The inline value lets the ASI resolve actors without relying on CSV alias parsing.

ACTOR_player_jack|1  # player_like 0x00000001
ACTOR_player_cs|2  # player_like 0x00000002
ACTOR_caucasian_male_police01|184  # law 0x000000B8
ACTOR_caucasian_male_police02|185  # law 0x000000B9
ACTOR_caucasian_male_police03|186  # law 0x000000BA
ACTOR_caucasian_male_police04|187  # law 0x000000BB
ACTOR_caucasian_male_police05|188  # law 0x000000BC
ACTOR_caucasian_army_easy01|369  # army 0x00000171
ACTOR_caucasian_army_easy02|370  # army 0x00000172
ACTOR_caucasian_army_easy03|371  # army 0x00000173
ACTOR_caucasian_army_medium01|372  # army 0x00000174
ACTOR_caucasian_army_medium02|373  # army 0x00000175
ACTOR_caucasian_army_medium03|374  # army 0x00000176
ACTOR_caucasian_army_hard01|375  # army 0x00000177
ACTOR_caucasian_army_hard02|376  # army 0x00000178
ACTOR_caucasian_army_hard02_burnt|377  # army 0x00000179
ACTOR_caucasian_army_hard03|378  # army 0x0000017A
ACTOR_mexican_army_easy01|379  # army 0x0000017B
ACTOR_mexican_army_easy02|380  # army 0x0000017C
ACTOR_mexican_army_easy03|381  # army 0x0000017D
ACTOR_mexican_army_easy04|382  # army 0x0000017E
ACTOR_mexican_army_easy05|383  # army 0x0000017F
ACTOR_mexican_army_easy06|384  # army 0x00000180
ACTOR_mexican_army_easy07|385  # army 0x00000181
ACTOR_mexican_army_easy08|386  # army 0x00000182
ACTOR_mexican_army_easy09|387  # army 0x00000183
ACTOR_mexican_army_easy10|388  # army 0x00000184
ACTOR_mexican_army_easy11|389  # army 0x00000185
ACTOR_mexican_army_easy12|390  # army 0x00000186
ACTOR_mexican_army_medium01|391  # army 0x00000187
ACTOR_mexican_army_medium02|392  # army 0x00000188
ACTOR_mexican_army_medium03|393  # army 0x00000189
ACTOR_mexican_army_hard01|394  # army 0x0000018A
ACTOR_mexican_army_hard02|395  # army 0x0000018B
ACTOR_mexican_army_hard03|396  # army 0x0000018C
ACTOR_caucasian_genericcriminal_easy01|397  # gang 0x0000018D
ACTOR_caucasian_genericcriminal_easy02|398  # gang 0x0000018E
ACTOR_caucasian_genericcriminal_easy03|399  # gang 0x0000018F
ACTOR_caucasian_genericcriminal_medium01|400  # gang 0x00000190
ACTOR_caucasian_genericcriminal_medium02|401  # gang 0x00000191
ACTOR_caucasian_genericcriminal_medium03|402  # gang 0x00000192
ACTOR_caucasian_genericcriminal_hard01|403  # gang 0x00000193
ACTOR_caucasian_genericcriminal_hard02|404  # gang 0x00000194
ACTOR_caucasian_genericcriminal_hard03|405  # gang 0x00000195
ACTOR_mexican_genericcriminal_easy01|406  # gang 0x00000196
ACTOR_mexican_genericcriminal_easy02|407  # gang 0x00000197
ACTOR_mexican_genericcriminal_easy03|408  # gang 0x00000198
ACTOR_mexican_genericcriminal_medium01|409  # gang 0x00000199
ACTOR_mexican_genericcriminal_medium02|410  # gang 0x0000019A
ACTOR_mexican_genericcriminal_medium03|411  # gang 0x0000019B
