string_offset,string_offset_hex,string_text,string_class,reference_instruction_offset,reference_instruction_offset_hex,owner_function_index,owner_function,owner_function_offset_range
39,0x27,Formations,unknown,37,0x25,0,main,0x0..0x128
65,0x41,Formations,unknown,63,0x3F,0,main,0x0..0x128
97,0x61,Failed to create FUI iterator. Script will not receive FUI events,debug/display text,95,0x5F,0,main,0x0..0x128
336,0x150,generalMenus,unknown,334,0x14E,1,Function_1,0x128..0x19F
363,0x16B,NetworkingLayerOffline,unknown,361,0x169,1,Function_1,0x128..0x19F
391,0x187,PauseMenu,unknown,389,0x185,1,Function_1,0x128..0x19F
425,0x1A9,Param,unknown,423,0x1A7,2,Function_2,0x19F..0x3E8
433,0x1B1,pauseStart,unknown,431,0x1AF,2,Function_2,0x19F..0x3E8
452,0x1C4,NetTab_ProfileTitles,unknown,450,0x1C2,2,Function_2,0x19F..0x3E8
478,0x1DE,NetTab_Profile,unknown,476,0x1DC,2,Function_2,0x19F..0x3E8
498,0x1F2,Net_titles,unknown,496,0x1F0,2,Function_2,0x19F..0x3E8
520,0x208,Param,unknown,518,0x206,2,Function_2,0x19F..0x3E8
528,0x210,Title_Selected,unknown,526,0x20E,2,Function_2,0x19F..0x3E8
551,0x227,Net_titles,unknown,549,0x225,2,Function_2,0x19F..0x3E8
576,0x240,MPP_TitleValue,unknown,574,0x23E,2,Function_2,0x19F..0x3E8
598,0x256,Net_titles,unknown,596,0x254,2,Function_2,0x19F..0x3E8
621,0x26D,NetworkingLayerOffline,unknown,619,0x26B,2,Function_2,0x19F..0x3E8
649,0x289,PauseMenu,unknown,647,0x287,2,Function_2,0x19F..0x3E8
664,0x298,MPProfile,unknown,662,0x296,2,Function_2,0x19F..0x3E8
685,0x2AD,Param,unknown,683,0x2AB,2,Function_2,0x19F..0x3E8
693,0x2B5,Prestige,unknown,691,0x2B3,2,Function_2,0x19F..0x3E8
720,0x2D0,MP_XP_RollOver_Popup,unknown,718,0x2CE,2,Function_2,0x19F..0x3E8
749,0x2ED,Param,unknown,747,0x2EB,2,Function_2,0x19F..0x3E8
757,0x2F5,Mount_Selected,unknown,755,0x2F3,2,Function_2,0x19F..0x3E8
