offset,offset_hex,opcode,width,value,actor_kind,operand_hex,candidate_source
1258,0x4EA,37,1,19,eActorEnum_candidate,13,
1771,0x6EB,65,2,1000,eActorEnum_candidate,03 E8,
3355,0xD1B,37,1,40,eActorEnum_candidate,28,
3783,0xEC7,37,1,51,eActorEnum_candidate,33,
3925,0xF55,37,1,13,eActorEnum_candidate,0D,
4068,0xFE4,37,1,13,eActorEnum_candidate,0D,
4211,0x1073,37,1,19,eActorEnum_candidate,13,
4639,0x121F,37,1,30,eActorEnum_candidate,1E,
4781,0x12AD,37,1,17,eActorEnum_candidate,11,
5066,0x13CA,37,1,12,eActorEnum_candidate,0C,
5351,0x14E7,37,1,10,eActorEnum_candidate,0A,
7585,0x1DA1,37,1,136,eActorEnum_candidate,88,
1,0x1,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
2,0x2,,2,8,eActorEnum_candidate,00 08,raw_u16be_window
4,0x4,,2,82,eActorEnum_candidate,00 52,raw_u16be_window
9,0x9,,2,768,eActorEnum_candidate,03 00,raw_u16be_window
10,0xA,,2,55,eActorEnum_candidate,00 37,raw_u16be_window
12,0xC,,2,688,eActorEnum_candidate,02 B0,raw_u16be_window
15,0xF,,2,687,eActorEnum_candidate,02 AF,raw_u16be_window
23,0x17,,2,311,eActorEnum_candidate,01 37,raw_u16be_window
25,0x19,,2,944,eActorEnum_candidate,03 B0,raw_u16be_window
29,0x1D,,2,1068,eActorEnum_candidate,04 2C,raw_u16be_window
31,0x1F,,2,258,eActorEnum_candidate,01 02,raw_u16be_window
32,0x20,,2,569,eActorEnum_candidate,02 39,raw_u16be_window
38,0x26,,2,27,eActorEnum_candidate,00 1B,raw_u16be_window
61,0x3D,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
63,0x3F,,2,1283,eActorEnum_candidate,05 03,raw_u16be_window
64,0x40,,2,825,eActorEnum_candidate,03 39,raw_u16be_window
92,0x5C,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
94,0x5E,,2,516,gang_actor,02 04,raw_u16be_window
95,0x5F,,2,1135,eActorEnum_candidate,04 6F,raw_u16be_window
116,0x74,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
118,0x76,,2,516,gang_actor,02 04,raw_u16be_window
119,0x77,,2,1135,eActorEnum_candidate,04 6F,raw_u16be_window
133,0x85,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
135,0x87,,2,517,gang_actor,02 05,raw_u16be_window
154,0x9A,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
156,0x9C,,2,517,gang_actor,02 05,raw_u16be_window
175,0xAF,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
177,0xB1,,2,517,gang_actor,02 05,raw_u16be_window
196,0xC4,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
198,0xC6,,2,517,gang_actor,02 05,raw_u16be_window
216,0xD8,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
218,0xDA,,2,517,gang_actor,02 05,raw_u16be_window
236,0xEC,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
238,0xEE,,2,517,gang_actor,02 05,raw_u16be_window
259,0x103,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
261,0x105,,2,517,gang_actor,02 05,raw_u16be_window
279,0x117,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
281,0x119,,2,517,gang_actor,02 05,raw_u16be_window
306,0x132,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
308,0x134,,2,517,gang_actor,02 05,raw_u16be_window
326,0x146,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
328,0x148,,2,517,gang_actor,02 05,raw_u16be_window
347,0x15B,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
349,0x15D,,2,517,gang_actor,02 05,raw_u16be_window
368,0x170,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
370,0x172,,2,517,gang_actor,02 05,raw_u16be_window
389,0x185,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
391,0x187,,2,517,gang_actor,02 05,raw_u16be_window
410,0x19A,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
412,0x19C,,2,517,gang_actor,02 05,raw_u16be_window
431,0x1AF,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
433,0x1B1,,2,517,gang_actor,02 05,raw_u16be_window
451,0x1C3,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
453,0x1C5,,2,517,gang_actor,02 05,raw_u16be_window
469,0x1D5,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
471,0x1D7,,2,517,gang_actor,02 05,raw_u16be_window
487,0x1E7,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
489,0x1E9,,2,517,gang_actor,02 05,raw_u16be_window
505,0x1F9,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
507,0x1FB,,2,517,gang_actor,02 05,raw_u16be_window
523,0x20B,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
525,0x20D,,2,517,gang_actor,02 05,raw_u16be_window
541,0x21D,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
543,0x21F,,2,517,gang_actor,02 05,raw_u16be_window
559,0x22F,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
561,0x231,,2,517,gang_actor,02 05,raw_u16be_window
579,0x243,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
581,0x245,,2,517,gang_actor,02 05,raw_u16be_window
599,0x257,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
601,0x259,,2,517,gang_actor,02 05,raw_u16be_window
619,0x26B,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
621,0x26D,,2,517,gang_actor,02 05,raw_u16be_window
639,0x27F,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
641,0x281,,2,517,gang_actor,02 05,raw_u16be_window
659,0x293,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
661,0x295,,2,517,gang_actor,02 05,raw_u16be_window
678,0x2A6,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
680,0x2A8,,2,517,gang_actor,02 05,raw_u16be_window
697,0x2B9,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
699,0x2BB,,2,517,gang_actor,02 05,raw_u16be_window
716,0x2CC,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
718,0x2CE,,2,517,gang_actor,02 05,raw_u16be_window
735,0x2DF,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
737,0x2E1,,2,517,gang_actor,02 05,raw_u16be_window
754,0x2F2,,2,44,eActorEnum_candidate,00 2C,raw_u16be_window
