wsi_source,hit_kind,wsi_offset,wsi_offset_hex,wsi_value,wsi_hash_guess,sector_offset_hex,sector_name,sector_scope,sector_name_resolved,scoped_name_resolved,bound_min,bound_max,district,disabled_flag_guess
/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,ascii_string_keyword,1848000,0x001C32C0,i_gen_hitchingPost02x/a_has_gringo_gringoannotation_has_gringo,0xF6E0BE01,0x0018F000,blk_bank01x,blackwater,,,"[675.444214, 78.305908, 1225.108032, 15.286457]","[695.779602, 90.285095, 1244.54187, 5.989594]",0,False
/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,ascii_string_keyword,1848063,0x001C32FF,i_gen_hitchingPost03x/a_has_gringo_gringoannotation_has_gringo,0xE2B23832,0x0018F000,blk_bank01x,blackwater,,,"[675.444214, 78.305908, 1225.108032, 15.286457]","[695.779602, 90.285095, 1244.54187, 5.989594]",0,False
/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,ascii_string_keyword,1848126,0x001C333E,i_gen_hitchingPost02x/a_has_gringo_gringoannotation_has_gringo,0xF6E0BE01,0x0018F000,blk_bank01x,blackwater,,,"[675.444214, 78.305908, 1225.108032, 15.286457]","[695.779602, 90.285095, 1244.54187, 5.989594]",0,False
/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,ascii_string_keyword,1848315,0x001C33FB,i_gen_hitchingPost02x/a_has_gringo_gringoannotation_has_gringo,0xF6E0BE01,0x0018F000,blk_bank01x,blackwater,,,"[675.444214, 78.305908, 1225.108032, 15.286457]","[695.779602, 90.285095, 1244.54187, 5.989594]",0,False
/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,ascii_string_keyword,1848378,0x001C343A,i_gen_hitchingPost02x/a_has_gringo_gringoannotation_has_gringo,0xF6E0BE01,0x0018F000,blk_bank01x,blackwater,,,"[675.444214, 78.305908, 1225.108032, 15.286457]","[695.779602, 90.285095, 1244.54187, 5.989594]",0,False
/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,ascii_string_keyword,1848630,0x001C3536,i_gen_hitchingPost02x/a_has_gringo_gringoannotation_has_gringo,0xF6E0BE01,0x0018F000,blk_bank01x,blackwater,,,"[675.444214, 78.305908, 1225.108032, 15.286457]","[695.779602, 90.285095, 1244.54187, 5.989594]",0,False
/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,ascii_string_keyword,1848756,0x001C35B4,i_gen_hitchingPost02x/a_has_gringo_gringoannotation_has_gringo,0xF6E0BE01,0x0018F000,blk_bank01x,blackwater,,,"[675.444214, 78.305908, 1225.108032, 15.286457]","[695.779602, 90.285095, 1244.54187, 5.989594]",0,False
/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,ascii_string_keyword,1856010,0x001C520A,blk_trainstation01Props01x_night_light_lamp_oil_020Shape,0x482F978A,0x0018F000,blk_bank01x,blackwater,,,"[675.444214, 78.305908, 1225.108032, 15.286457]","[695.779602, 90.285095, 1244.54187, 5.989594]",0,False
/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,ascii_string_keyword,1856124,0x001C527C,blk_trainstation01Props01x_night_light_lamp_oil_010Shape,0x14774B77,0x0018F000,blk_bank01x,blackwater,,,"[675.444214, 78.305908, 1225.108032, 15.286457]","[695.779602, 90.285095, 1244.54187, 5.989594]",0,False
/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded,ascii_string_keyword,1856181,0x001C52B5,blk_trainstation01Props01x_night_light_lamp_oil_015Shape,0x86AFB451,0x0018F000,blk_bank01x,blackwater,,,"[675.444214, 78.305908, 1225.108032, 15.286457]","[695.779602, 90.285095, 1244.54187, 5.989594]",0,False
