archive,archive_path,entry_path,name,extension,layer,size,offset,is_resource,resource_type,base_name,name_hash,grid_x_hex,grid_y_hex,grid_x_u16,grid_y_u16,grid_x_s16,grid_y_s16,bounds_grid_cell_size_guess,world_min_x_guess,world_min_y_guess,world_max_x_guess,world_max_y_guess
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/08c022c0_bnd.wtb,08c022c0_bnd.wtb,.wtb,terrain_bounds_wtb,28177,42266624,True,36,08c022c0_bnd,0x76D37F5F,08c0,22c0,2240,8896,2240,8896,64,2240,8896,2304,8960
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/108029c0_bnd.wtb,108029c0_bnd.wtb,.wtb,terrain_bounds_wtb,49821,116215808,True,36,108029c0_bnd,0x9EB916A9,1080,29c0,4224,10688,4224,10688,64,4224,10688,4288,10752
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/13402b40_bnd.wtb,13402b40_bnd.wtb,.wtb,terrain_bounds_wtb,74787,144140288,True,36,13402b40_bnd,0x9E2A3CA5,1340,2b40,4928,11072,4928,11072,64,4928,11072,4992,11136
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/12402b40_bnd.wtb,12402b40_bnd.wtb,.wtb,terrain_bounds_wtb,44126,132333568,True,36,12402b40_bnd,0x1CA410D0,1240,2b40,4672,11072,4672,11072,64,4672,11072,4736,11136
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/1d801c00_bnd.wtb,1d801c00_bnd.wtb,.wtb,terrain_bounds_wtb,1115,212234240,True,36,1d801c00_bnd,0xD0C5C5FC,1d80,1c00,7552,7168,7552,7168,64,7552,7168,7616,7232
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/19001d40_bnd.wtb,19001d40_bnd.wtb,.wtb,terrain_bounds_wtb,8247,202588160,True,36,19001d40_bnd,0x41B898B0,1900,1d40,6400,7488,6400,7488,64,6400,7488,6464,7552
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/12c02000_bnd.wtb,12c02000_bnd.wtb,.wtb,terrain_bounds_wtb,39859,135397376,True,36,12c02000_bnd,0x490266DC,12c0,2000,4800,8192,4800,8192,64,4800,8192,4864,8256
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/16402780_bnd.wtb,16402780_bnd.wtb,.wtb,terrain_bounds_wtb,69262,180500480,True,36,16402780_bnd,0x72CE542D,1640,2780,5696,10112,5696,10112,64,5696,10112,5760,10176
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/18402480_bnd.wtb,18402480_bnd.wtb,.wtb,terrain_bounds_wtb,9579,197984256,True,36,18402480_bnd,0xA65B6D6B,1840,2480,6208,9344,6208,9344,64,6208,9344,6272,9408
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0b8020c0_bnd.wtb,0b8020c0_bnd.wtb,.wtb,terrain_bounds_wtb,42263,68608000,True,36,0b8020c0_bnd,0x5493386C,0b80,20c0,2944,8384,2944,8384,64,2944,8384,3008,8448
