sector_offset,sector_offset_hex,sector_name,sector_scope,bound_min,bound_max,flags,resident_status,district,ref_count,props_offset,props_count,props_ptr_hex,doors_attributes_offset,doors_attributes_count,doors_attributes_ptr_hex,children_offset,children_count,children_ptr_hex,child_ptrs_offset,child_ptrs_count,child_ptrs_ptr_hex,drawable_instances_offset,drawable_instances_count,drawable_instances_ptr_hex,drawable_instances2_offset,drawable_instances2_count,drawable_instances2_ptr_hex,occluders_offset,occluders_count,occluders_ptr_hex,locators_offset,locators_count,locators_ptr_hex,wsi_source
0,0x00000000,,blackwater,"[462.340149, 61.159431, 1174.356201, 267.020386]","[860.775757, 114.14402, 1525.982788, 26.492294]",0x00000000,85,0,205,,0,,,0,,,0,,2359360,1,0x50240040,,0,,,0,,,0,,,0,0x01BB01BB,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1416720,0x00159E10,blackwater,blackwater,"[462.340149, 61.159431, 1174.356201, 267.020386]","[860.775757, 114.14402, 1525.982788, 26.492294]",0x00000002,85,0,205,,0,,2462400,0,0x502592C0,,0,,2191280,7,0x50216FB0,,0,,,0,,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1420816,0x0015AE10,blk_archeologist01x,blackwater,"[743.524597, 78.239532, 1274.045166, 11.940589]","[761.002686, 91.982376, 1282.760742, 4.357788]",0x00000007,85,0,205,,0,,2462180,0,0x502591E4,,0,,,0,,1289776,2,0x5013AE30,1422752,5,0x5015B5A0,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1424912,0x0015BE10,blackwater02,blackwater,"[689.166687, 70.388245, 1245.345947, 116.719879]","[797.251648, 97.443733, 1450.479492, 13.527744]",0x00000008,85,0,205,,0,,2462408,0,0x502592C8,,0,,1634784,118,0x5018F1E0,,0,,,0,,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1429008,0x0015CE10,blk_residence07x,blackwater,"[593.437012, 86.002472, 1212.982666, 17.970469]","[616.672852, 100.559937, 1236.218994, 7.278732]",0x00000007,85,0,205,,0,,2462324,0,0x50259274,,0,,,0,,1691136,1,0x5019CE00,1373024,6,0x5014F360,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1433104,0x0015DE10,blk_generalBuilding10x,blackwater,"[743.487427, 78.305222, 1343.910156, 12.326138]","[762.269043, 87.127975, 1357.219727, 4.411377]",0x00000007,85,0,205,,0,,2462288,0,0x50259250,,0,,,0,,1706624,1,0x501A0A80,1418656,5,0x5015A5A0,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1437200,0x0015EE10,blk_saloon_int_01x,blackwater,"[709.085938, 78.253937, 1310.539062, 12.831194]","[727.079834, 86.721893, 1326.758545, 4.233978]",0x00000007,2147483733,0,205,,0,,2462116,0,0x502591A4,,0,,,0,,1462272,3,0x50165000,1448048,5,0x50161870,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1441296,0x0015FE10,blk_theatre01x,blackwater,"[693.491882, 77.675156, 1277.016357, 21.992702]","[727.114014, 90.697723, 1302.209229, 6.511284]",0x00000007,85,0,205,1899040,1,0x501CFA20,2462420,0,0x502592D4,,0,,,0,,1703648,1,0x5019FEE0,1337312,7,0x501467E0,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1453584,0x00162E10,blk_slumHouse05x,blackwater,"[736.552612, 78.162231, 1404.079834, 11.043895]","[754.356812, 85.809967, 1414.681396, 3.823868]",0x00000007,85,0,205,1782192,2,0x501B31B0,2462240,0,0x50259220,,0,,,0,,1692768,1,0x5019D460,1301792,5,0x5013DD20,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1457680,0x00163E10,blk_generalBuilding12x,blackwater,"[743.348511, 78.241943, 1357.193848, 7.3651]","[754.059204, 84.743134, 1364.939453, 3.250595]",0x00000007,85,0,205,,0,,2462732,0,0x5025940C,,0,,,0,,1690464,1,0x5019CB60,1648752,3,0x50192870,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
